gene_symbol	ensembl_gene_id	ensembl_transcript_id	ensembl_protein_id	refseq_transcript_id	refseq_gene_id	refseq_protein_id
RPL28	ENSG00000108107.17	ENST00000344063.7	ENSP00000342787.3	NM_000991.5	6158	NP_000982.2
RPL29	ENSG00000162244.14	ENST00000294189.11	ENSP00000294189.4	NM_000992.3	6159	NP_000983.1
RPL3	ENSG00000100316.18	ENST00000216146.9	ENSP00000346001.3	NM_000967.4	6122	NP_000958.1
RPL30	ENSG00000156482.13	ENST00000287038.8	ENSP00000287038.3	NM_000989.4	6156	NP_000980.1
RPL31	ENSG00000071082.13	ENST00000264258.8	ENSP00000264258.3	NM_000993.5	6160	NP_000984.1
RPL32	ENSG00000144713.15	ENST00000429711.7	ENSP00000416429.2	NM_000994.4	6161	NP_000985.1
RPL34	ENSG00000109475.20	ENST00000394667.8	ENSP00000378162.3	NM_001319236.2	6164	NP_001306165.1
RPL35	ENSG00000136942.17	ENST00000348462.6	ENSP00000259469.4	NM_007209.4	11224	NP_009140.1
RPL35A	ENSG00000182899.19	ENST00000647248.2	ENSP00000495672.1	NM_000996.4	6165	NP_000987.2
RPL36	ENSG00000130255.15	ENST00000347512.8	ENSP00000252543.3	NM_033643.3	25873	NP_378669.1
RPL36A	ENSG00000241343.12	ENST00000553110.8	ENSP00000446503.2	NM_021029.6	6173	NP_066357.3
RPL36AL	ENSG00000165502.9	ENST00000298289.7	ENSP00000346012.5	NM_001001.5	6166	NP_000992.1
RPL37	ENSG00000145592.16	ENST00000274242.10	ENSP00000274242.5	NM_000997.5	6167	NP_000988.1
RPL37A	ENSG00000197756.12	ENST00000491306.6	ENSP00000418082.1	NM_000998.5	6168	NP_000989.1
RPL38	ENSG00000172809.15	ENST00000311111.11	ENSP00000309830.6	NM_000999.4	6169	NP_000990.1
RPL39	ENSG00000198918.10	ENST00000361575.4	ENSP00000355315.3	NM_001000.4	6170	NP_000991.1
RPL39L	ENSG00000163923.12	ENST00000296277.9	ENSP00000296277.4	NM_052969.3	116832	NP_443201.1
RPL3L	ENSG00000140986.10	ENST00000268661.8	ENSP00000268661.7	NM_005061.3	6123	NP_005052.1
RPL4	ENSG00000174444.17	ENST00000307961.11	ENSP00000311430.6	NM_000968.4	6124	NP_000959.2
RPL41	ENSG00000229117.11	ENST00000546591.6	ENSP00000449026.1	NM_001035267.2	6171	NP_001030344.1
RPL5	ENSG00000122406.16	ENST00000370321.8	ENSP00000359345.2	NM_000969.5	6125	NP_000960.2
RPL6	ENSG00000089009.18	ENST00000202773.14	ENSP00000202773.9	NM_000970.6	6128	NP_000961.2
RPL7	ENSG00000147604.16	ENST00000352983.7	ENSP00000339795.2	NM_000971.4	6129	NP_000962.2
RPL7A	ENSG00000148303.19	ENST00000323345.11	ENSP00000361076.3	NM_000972.3	6130	NP_000963.1
RPL7L1	ENSG00000146223.18	ENST00000493763.7	ENSP00000418221.3	NM_001366481.3	285855	NP_001353410.1
RPL8	ENSG00000161016.20	ENST00000528957.6	ENSP00000433464.2	NM_001317782.2	6132	NP_001304711.1
RPL9	ENSG00000163682.19	ENST00000295955.14	ENSP00000346022.7	NM_000661.5	6133	NP_000652.2
RPLP0	ENSG00000089157.18	ENST00000392514.9	ENSP00000376299.4	NM_001002.4	6175	NP_000993.1
RPLP1	ENSG00000137818.14	ENST00000260379.11	ENSP00000346037.5	NM_001003.3	6176	NP_000994.1
RPLP2	ENSG00000177600.12	ENST00000321153.9	ENSP00000322419.4	NM_001004.4	6181	NP_000995.1
RPN1	ENSG00000163902.14	ENST00000296255.8	ENSP00000296255.3	NM_002950.4	6184	NP_002941.1
RPN2	ENSG00000118705.20	ENST00000237530.11	ENSP00000237530.6	NM_002951.5	6185	NP_002942.2
RPP14	ENSG00000163684.13	ENST00000295959.10	ENSP00000295959.5	NM_007042.6	11102	NP_008973.1
RPP21	ENSG00000241370.8	ENST00000442966.7	ENSP00000403833.2	NM_024839.4	79897	NP_079115.1
RPP25	ENSG00000178718.7	ENST00000322177.6	ENSP00000317691.6	NM_017793.3	54913	NP_060263.2
RPP25L	ENSG00000164967.12	ENST00000378959.9	ENSP00000368242.4	NM_148178.3	138716	NP_680544.1
RPP30	ENSG00000148688.16	ENST00000371703.8	ENSP00000360768.3	NM_006413.5	10556	NP_006404.1
RPP38	ENSG00000152464.17	ENST00000378197.5	ENSP00000367439.4	NM_183005.5	10557	NP_892117.1
RPP40	ENSG00000124787.16	ENST00000380051.7	ENSP00000369391.2	NM_006638.4	10799	NP_006629.2
RPRD1A	ENSG00000141425.20	ENST00000399022.9	ENSP00000381984.3	NM_018170.5	55197	NP_060640.2
RPRD1B	ENSG00000101413.14	ENST00000373433.9	ENSP00000362532.4	NM_021215.4	58490	NP_067038.1
RPRD2	ENSG00000163125.18	ENST00000369068.5	ENSP00000358064.4	NM_015203.5	23248	NP_056018.2
RPRM	ENSG00000177519.4	ENST00000325926.4	ENSP00000314946.3	NM_019845.3	56475	NP_062819.1
RPRML	ENSG00000179673.5	ENST00000322329.5	ENSP00000318032.3	NM_203400.5	388394	NP_981945.1
RPS10	ENSG00000124614.19	ENST00000648437.1	ENSP00000497917.1	NM_001014.5	6204	NP_001005.1
RPS11	ENSG00000142534.9	ENST00000270625.7	ENSP00000270625.1	NM_001015.5	6205	NP_001006.1
RPS12	ENSG00000112306.10	ENST00000230050.4	ENSP00000230050.3	NM_001016.4	6206	NP_001007.2
RPS13	ENSG00000110700.9	ENST00000525634.6	ENSP00000435777.1	NM_001017.3	6207	NP_001008.1
RPS14	ENSG00000164587.15	ENST00000407193.7	ENSP00000385425.1	NM_005617.4	6208	NP_005608.1
RPS15	ENSG00000115268.12	ENST00000592588.7	ENSP00000467466.3	NM_001018.5	6209	NP_001009.1
RPS15A	ENSG00000134419.17	ENST00000322989.8	ENSP00000318646.4	NM_001019.5	6210	NP_001010.2
RPS16	ENSG00000105193.11	ENST00000251453.8	ENSP00000251453.2	NM_001020.6	6217	NP_001011.1
RPS17	ENSG00000182774.15	ENST00000647841.1	ENSP00000498019.1	NM_001021.6	6218	NP_001012.1
RPS18	ENSG00000231500.9	ENST00000439602.7	ENSP00000393241.2	NM_022551.3	6222	NP_072045.1
RPS19	ENSG00000105372.10	ENST00000598742.6	ENSP00000470972.1	NM_001022.4	6223	NP_001013.1
RPS19BP1	ENSG00000187051.11	ENST00000334678.8	ENSP00000333948.3	NM_194326.4	91582	NP_919307.1
RPS2	ENSG00000140988.18	ENST00000343262.9	ENSP00000341885.4	NM_002952.4	6187	NP_002943.2
RPS20	ENSG00000008988.13	ENST00000009589.8	ENSP00000009589.3	NM_001023.4	6224	NP_001014.1
RPS21	ENSG00000171858.20	ENST00000343986.9	ENSP00000345957.3	NM_001024.4	6227	NP_001015.1
RPS23	ENSG00000186468.15	ENST00000296674.13	ENSP00000296674.8	NM_001025.5	6228	NP_001016.1
RPS24	ENSG00000138326.23	ENST00000372360.9	ENSP00000361435.4	NM_033022.4	6229	NP_148982.1
RPS25	ENSG00000118181.13	ENST00000527673.2	ENSP00000435096.1	NM_001028.3	6230	NP_001019.1
RPS26	ENSG00000197728.13	ENST00000646449.2	ENSP00000496643.1	NM_001029.5	6231	NP_001020.2
RPS27	ENSG00000177954.16	ENST00000651669.1	ENSP00000499044.1	NM_001030.6	6232	NP_001021.1
RPS27A	ENSG00000143947.17	ENST00000272317.11	ENSP00000272317.6	NM_002954.6	6233	NP_002945.1
RPS27L	ENSG00000185088.16	ENST00000330964.10	ENSP00000331019.5	NM_015920.4	51065	NP_057004.1
RPS28	ENSG00000233927.7	ENST00000600659.3	ENSP00000472469.1	NM_001031.5	6234	NP_001022.1
RPS29	ENSG00000213741.13	ENST00000245458.11	ENSP00000245458.7	NM_001032.5	6235	NP_001023.1
RPS3	ENSG00000149273.17	ENST00000531188.6	ENSP00000434643.1	NM_001005.5	6188	NP_000996.2
RPS3A	ENSG00000145425.12	ENST00000274065.9	ENSP00000346050.3	NM_001006.5	6189	NP_000997.1
RPS4X	ENSG00000198034.13	ENST00000316084.10	ENSP00000362744.4	NM_001007.5	6191	NP_000998.1
RPS4Y1	ENSG00000129824.17	ENST00000250784.13	ENSP00000250784.7	NM_001008.4	6192	NP_000999.1
RPS4Y2	ENSG00000280969.2	ENST00000629237.2	ENSP00000486252.1	NM_001039567.3	140032	NP_001034656.1
RPS5	ENSG00000083845.11	ENST00000196551.8	ENSP00000196551.3	NM_001009.4	6193	NP_001000.2
RPS6	ENSG00000137154.15	ENST00000380394.9	ENSP00000369757.4	NM_001010.3	6194	NP_001001.2
RPS6KA1	ENSG00000117676.16	ENST00000374168.7	ENSP00000363283.2	NM_002953.4	6195	NP_002944.2
RPS6KA2	ENSG00000071242.15	ENST00000265678.9	ENSP00000265678.4	NM_021135.6	6196	NP_066958.2
RPS6KA3	ENSG00000177189.16	ENST00000379565.9	ENSP00000368884.3	NM_004586.3	6197	NP_004577.1
RPS6KA4	ENSG00000162302.15	ENST00000334205.9	ENSP00000333896.4	NM_003942.3	8986	NP_003933.1
RPS6KA5	ENSG00000100784.14	ENST00000614987.5	ENSP00000479667.1	NM_004755.4	9252	NP_004746.2
RPS6KA6	ENSG00000072133.14	ENST00000262752.5	ENSP00000262752.2	NM_014496.5	27330	NP_055311.1
RPS6KB1	ENSG00000108443.16	ENST00000225577.9	ENSP00000225577.4	NM_003161.4	6198	NP_003152.1
RPS6KB2	ENSG00000175634.17	ENST00000312629.10	ENSP00000308413.5	NM_003952.3	6199	NP_003943.2
RPS6KC1	ENSG00000136643.14	ENST00000366960.8	ENSP00000355927.3	NM_012424.6	26750	NP_036556.2
RPS6KL1	ENSG00000198208.14	ENST00000557413.6	ENSP00000450567.1	NM_031464.5	83694	NP_113652.2
RPS7	ENSG00000171863.17	ENST00000645674.2	ENSP00000496757.1	NM_001011.4	6201	NP_001002.1
RPS8	ENSG00000142937.14	ENST00000396651.8	ENSP00000379888.3	NM_001012.2	6202	NP_001003.1
RPS9	ENSG00000170889.16	ENST00000302907.9	ENSP00000302896.4	NM_001013.4	6203	NP_001004.2
RPSA	ENSG00000168028.17	ENST00000301821.11	ENSP00000346067.4	NM_002295.6	3921	NP_002286.2
RPSA2	ENSG00000288920.3	ENST00000484897.4	ENSP00000509526.1	NM_001355283.3	388524	NP_001342212.1
RPTN	ENSG00000215853.3	ENST00000316073.3	ENSP00000317895.3	NM_001122965.1	126638	NP_001116437.1
RPTOR	ENSG00000141564.16	ENST00000306801.8	ENSP00000307272.3	NM_020761.3	57521	NP_065812.1
RPUSD1	ENSG00000007376.10	ENST00000007264.7	ENSP00000007264.2	NM_058192.3	113000	NP_478072.1
RPUSD2	ENSG00000166133.20	ENST00000315616.12	ENSP00000323288.7	NM_152260.3	27079	NP_689473.1
RPUSD3	ENSG00000156990.16	ENST00000383820.10	ENSP00000373331.6	NM_173659.5	285367	NP_775930.3
RPUSD4	ENSG00000165526.11	ENST00000298317.9	ENSP00000298317.4	NM_032795.3	84881	NP_116184.2
RRAD	ENSG00000166592.15	ENST00000299759.11	ENSP00000299759.6	NM_004165.3	6236	NP_004156.1
RRAGA	ENSG00000155876.6	ENST00000380527.3	ENSP00000369899.1	NM_006570.5	10670	NP_006561.1
RRAGB	ENSG00000083750.15	ENST00000374941.9	ENSP00000364077.4	NM_006064.5	10325	NP_006055.3
RRAGC	ENSG00000116954.10	ENST00000373001.4	ENSP00000362092.3	NM_022157.4	64121	NP_071440.1
RRAGD	ENSG00000025039.17	ENST00000369415.9	ENSP00000358423.4	NM_021244.5	58528	NP_067067.1
RRAS	ENSG00000126458.6	ENST00000246792.4	ENSP00000246792.2	NM_006270.5	6237	NP_006261.1
RRAS2	ENSG00000133818.16	ENST00000256196.9	ENSP00000256196.4	NM_012250.6	22800	NP_036382.2
RRBP1	ENSG00000125844.19	ENST00000377813.6	ENSP00000367044.1	NM_001365613.2	6238	NP_001352542.1
RREB1	ENSG00000124782.23	ENST00000379938.7	ENSP00000369270.2	NM_001003699.4	6239	NP_001003699.1
RRH	ENSG00000180245.7	ENST00000317735.7	ENSP00000314992.4	NM_006583.5	10692	NP_006574.1
RRM1	ENSG00000167325.17	ENST00000300738.10	ENSP00000300738.5	NM_001033.5	6240	NP_001024.1
RRM2	ENSG00000171848.18	ENST00000304567.10	ENSP00000302955.4	NM_001034.4	6241	NP_001025.1
RRM2B	ENSG00000048392.15	ENST00000251810.8	ENSP00000251810.3	NM_015713.5	50484	NP_056528.2
RRN3	ENSG00000085721.15	ENST00000198767.11	ENSP00000198767.7	NM_018427.5	54700	NP_060897.3
RRP1	ENSG00000160214.15	ENST00000497547.2	ENSP00000417464.1	NM_003683.6	8568	NP_003674.1
RRP12	ENSG00000052749.16	ENST00000370992.9	ENSP00000360031.4	NM_015179.4	23223	NP_055994.2
RRP15	ENSG00000067533.8	ENST00000366932.4	ENSP00000355899.3	NM_016052.4	51018	NP_057136.2
RRP1B	ENSG00000160208.14	ENST00000340648.6	ENSP00000339145.4	NM_015056.3	23076	NP_055871.1
RRP36	ENSG00000124541.9	ENST00000244496.6	ENSP00000244496.5	NM_033112.4	88745	NP_149103.1
RRP7A	ENSG00000189306.14	ENST00000323013.7	ENSP00000321449.6	NM_015703.5	27341	NP_056518.2
RRP8	ENSG00000132275.13	ENST00000254605.11	ENSP00000254605.6	NM_015324.4	23378	NP_056139.1
RRP9	ENSG00000114767.9	ENST00000232888.7	ENSP00000232888.6	NM_004704.5	9136	NP_004695.1
RRS1	ENSG00000179041.4	ENST00000320270.4	ENSP00000322396.2	NM_015169.4	23212	NP_055984.1
RS1	ENSG00000102104.9	ENST00000379984.4	ENSP00000369320.3	NM_000330.4	6247	NP_000321.1
RSAD1	ENSG00000136444.12	ENST00000258955.7	ENSP00000258955.2	NM_018346.3	55316	NP_060816.1
RSAD2	ENSG00000134321.14	ENST00000382040.4	ENSP00000371471.3	NM_080657.5	91543	NP_542388.2
RSBN1	ENSG00000081019.16	ENST00000261441.9	ENSP00000261441.5	NM_018364.5	54665	NP_060834.2
RSBN1L	ENSG00000187257.18	ENST00000334955.13	ENSP00000334040.7	NM_198467.3	222194	NP_940869.2
RSC1A1	ENSG00000215695.2	ENST00000345034.2	ENSP00000341963.1	NM_006511.3	6248	NP_006502.1
RSF1	ENSG00000048649.15	ENST00000308488.11	ENSP00000311513.6	NM_016578.4	51773	NP_057662.3
RSKR	ENSG00000167524.19	ENST00000301037.11	ENSP00000301037.5	NM_001174103.2	124923	NP_001167574.1
RSL1D1	ENSG00000171490.15	ENST00000571133.6	ENSP00000460871.1	NM_015659.3	26156	NP_056474.2
RSL24D1	ENSG00000137876.13	ENST00000260443.9	ENSP00000260443.4	NM_016304.3	51187	NP_057388.1
RSPH1	ENSG00000160188.12	ENST00000291536.8	ENSP00000291536.3	NM_080860.4	89765	NP_543136.1
RSPH10B	ENSG00000155026.19	ENST00000404406.6	ENSP00000384097.1	NM_173565.5	222967	NP_775836.4
RSPH10B2	ENSG00000169402.18	ENST00000404077.6	ENSP00000386102.1	NM_001099697.2	728194	NP_001093167.1
RSPH14	ENSG00000100218.13	ENST00000216036.9	ENSP00000216036.4	NM_014433.3	27156	NP_055248.1
RSPH3	ENSG00000130363.16	ENST00000367069.7	ENSP00000356036.1	NM_031924.8	83861	NP_114130.4
RSPH4A	ENSG00000111834.14	ENST00000229554.10	ENSP00000229554.5	NM_001010892.3	345895	NP_001010892.1
RSPH6A	ENSG00000104941.8	ENST00000221538.8	ENSP00000221538.2	NM_030785.4	81492	NP_110412.1
RSPH9	ENSG00000172426.18	ENST00000372163.5	ENSP00000361236.4	NM_152732.5	221421	NP_689945.2
RSPO1	ENSG00000169218.16	ENST00000356545.7	ENSP00000348944.2	NM_001242908.2	284654	NP_001229837.1
RSPO2	ENSG00000147655.14	ENST00000276659.10	ENSP00000276659.5	NM_178565.5	340419	NP_848660.3
RSPO3	ENSG00000146374.16	ENST00000356698.9	ENSP00000349131.4	NM_032784.5	84870	NP_116173.2
RSPO4	ENSG00000101282.11	ENST00000217260.9	ENSP00000217260.4	NM_001029871.4	343637	NP_001025042.2
RSPRY1	ENSG00000159579.16	ENST00000394420.9	ENSP00000377942.4	NM_133368.3	89970	NP_588609.1
RSRC1	ENSG00000174891.16	ENST00000611884.5	ENSP00000481697.1	NM_001271838.2	51319	NP_001258767.1
RSRC2	ENSG00000111011.20	ENST00000331738.12	ENSP00000330188.6	NM_023012.6	65117	NP_075388.2
RSRP1	ENSG00000117616.20	ENST00000243189.12	ENSP00000243189.7	NM_020317.5	57035	NP_064713.3
RSU1	ENSG00000148484.20	ENST00000345264.10	ENSP00000339521.5	NM_012425.4	6251	NP_036557.1
RTBDN	ENSG00000132026.17	ENST00000674343.2	ENSP00000501410.1	NM_001270441.2	83546	NP_001257370.2
RTCA	ENSG00000137996.15	ENST00000370128.9	ENSP00000359146.4	NM_003729.4	8634	NP_003720.1
RTCB	ENSG00000100220.14	ENST00000216038.6	ENSP00000216038.5	NM_014306.5	51493	NP_055121.1
RTEL1	ENSG00000258366.14	ENST00000360203.11	ENSP00000353332.5	NM_001283009.2	51750	NP_001269938.1
RTF1	ENSG00000137815.17	ENST00000389629.9	ENSP00000374280.4	NM_015138.5	23168	NP_055953.3
RTF2	ENSG00000022277.15	ENST00000357348.10	ENSP00000349906.6	NM_016407.5	51507	NP_057491.2
RTKN	ENSG00000114993.18	ENST00000272430.10	ENSP00000272430.5	NM_001015055.2	6242	NP_001015055.1
RTKN2	ENSG00000182010.13	ENST00000373789.8	ENSP00000362894.3	NM_145307.4	219790	NP_660350.2
RTL1	ENSG00000254656.3	ENST00000649591.1	ENSP00000497482.1	NM_001134888.3	388015	NP_001128360.1
RTL10	ENSG00000215012.10	ENST00000328554.9	ENSP00000330596.4	NM_024627.6	79680	NP_078903.3
RTL3	ENSG00000179300.5	ENST00000321110.2	ENSP00000316794.1	NM_152694.3	203430	NP_689907.1
RTL4	ENSG00000187823.6	ENST00000695839.1	ENSP00000512211.1	NM_001395362.2	340595	NP_001382291.1
RTL5	ENSG00000242732.6	ENST00000609883.3	ENSP00000476792.1	NM_001405151.1	340526	NP_001392080.1
RTL6	ENSG00000188636.5	ENST00000341255.4	ENSP00000340434.3	NM_032287.3	84247	NP_115663.2
RTL8A	ENSG00000203950.7	ENST00000370775.3	ENSP00000375267.1	NM_001078172.2	26071	NP_001071640.1
RTL8B	ENSG00000212747.5	ENST00000391440.3	ENSP00000375268.1	NM_001078173.2	441518	NP_001071641.1
RTL8C	ENSG00000134590.14	ENST00000257013.9	ENSP00000257013.7	NM_001078171.2	8933	NP_001071639.1
RTL9	ENSG00000243978.9	ENST00000520821.6	ENSP00000430395.2	NM_001385449.1	57529	NP_001372378.1
RTN1	ENSG00000139970.20	ENST00000267484.10	ENSP00000267484.5	NM_021136.3	6252	NP_066959.1
RTN2	ENSG00000125744.14	ENST00000245923.9	ENSP00000245923.3	NM_005619.5	6253	NP_005610.1
RTN3	ENSG00000133318.16	ENST00000377819.10	ENSP00000367050.5	NM_001265589.2	10313	NP_001252518.1
RTN4	ENSG00000115310.21	ENST00000337526.11	ENSP00000337838.6	NM_020532.5	57142	NP_065393.1
RTN4IP1	ENSG00000130347.15	ENST00000369063.8	ENSP00000358059.3	NM_032730.5	84816	NP_116119.2
RTN4R	ENSG00000040608.15	ENST00000043402.8	ENSP00000043402.7	NM_023004.6	65078	NP_075380.1
RTN4RL1	ENSG00000185924.8	ENST00000331238.7	ENSP00000330631.4	NM_178568.4	146760	NP_848663.1
RTN4RL2	ENSG00000186907.9	ENST00000335099.8	ENSP00000335397.3	NM_178570.3	349667	NP_848665.1
RTP1	ENSG00000175077.7	ENST00000312295.5	ENSP00000311712.4	NM_153708.3	132112	NP_714919.2
RTP2	ENSG00000198471.2	ENST00000358241.1	ENSP00000350976.1	NM_001004312.2	344892	NP_001004312.2
RTP3	ENSG00000163825.6	ENST00000296142.4	ENSP00000296142.3	NM_031440.2	83597	NP_113628.1
RTP4	ENSG00000136514.4	ENST00000259030.3	ENSP00000259030.2	NM_022147.3	64108	NP_071430.2
RTP5	ENSG00000188011.5	ENST00000343216.3	ENSP00000345374.3	NM_173821.3	285093	NP_776182.2
RTRAF	ENSG00000087302.11	ENST00000261700.8	ENSP00000261700.3	NM_016039.3	51637	NP_057123.1
RTTN	ENSG00000176225.17	ENST00000640769.2	ENSP00000491507.1	NM_173630.4	25914	NP_775901.3
RUBCN	ENSG00000145016.19	ENST00000296343.10	ENSP00000296343.5	NM_014687.4	9711	NP_055502.1
RUBCNL	ENSG00000102445.22	ENST00000429979.6	ENSP00000396935.1	NM_025113.5	80183	NP_079389.2
RUFY1	ENSG00000176783.17	ENST00000319449.9	ENSP00000325594.4	NM_025158.5	80230	NP_079434.3
RUFY2	ENSG00000204130.16	ENST00000602465.6	ENSP00000473462.1	NM_001330103.2	55680	NP_001317032.1
RUFY3	ENSG00000018189.15	ENST00000381006.8	ENSP00000370394.3	NM_001037442.4	22902	NP_001032519.1
RUFY4	ENSG00000188282.14	ENST00000697321.1	ENSP00000513250.1	NM_198483.4	285180	NP_940885.2
RUNDC1	ENSG00000198863.10	ENST00000361677.6	ENSP00000354622.1	NM_173079.5	146923	NP_775102.3
RUNDC3A	ENSG00000108309.16	ENST00000426726.8	ENSP00000410862.2	NM_001144825.2	10900	NP_001138297.1
RUNDC3B	ENSG00000105784.18	ENST00000394654.4	ENSP00000378149.3	NM_001134405.2	154661	NP_001127877.1
RUNX1	ENSG00000159216.22	ENST00000675419.1	ENSP00000501943.1	NM_001754.5	861	NP_001745.2
RUNX1T1	ENSG00000079102.20	ENST00000523629.7	ENSP00000428543.1	NM_175634.3	862	NP_783552.1
RUNX2	ENSG00000124813.25	ENST00000647337.2	ENSP00000495497.1	NM_001024630.4	860	NP_001019801.3
RUNX3	ENSG00000020633.20	ENST00000308873.11	ENSP00000308051.6	NM_004350.3	864	NP_004341.1
RUSC1	ENSG00000160753.19	ENST00000368352.10	ENSP00000357336.5	NM_001105203.2	23623	NP_001098673.1
RUSC2	ENSG00000198853.14	ENST00000361226.8	ENSP00000355177.3	NM_014806.5	9853	NP_055621.2
RUSF1	ENSG00000140688.20	ENST00000327237.7	ENSP00000317579.2	NM_022744.4	64755	NP_073581.2
RUVBL1	ENSG00000175792.14	ENST00000322623.10	ENSP00000318297.5	NM_003707.3	8607	NP_003698.1
RUVBL2	ENSG00000183207.17	ENST00000595090.6	ENSP00000473172.1	NM_006666.3	10856	NP_006657.1
RWDD1	ENSG00000111832.14	ENST00000466444.7	ENSP00000420357.2	NM_015952.4	51389	NP_057036.2
RWDD2A	ENSG00000013392.10	ENST00000369724.5	ENSP00000358739.3	NM_033411.5	112611	NP_219479.2
RWDD2B	ENSG00000156253.9	ENST00000493196.2	ENSP00000418693.1	NM_016940.3	10069	NP_058636.1
RWDD3	ENSG00000122481.19	ENST00000370202.5	ENSP00000359221.4	NM_015485.5	25950	NP_056300.3
RWDD4	ENSG00000182552.16	ENST00000326397.10	ENSP00000388920.2	NM_152682.4	201965	NP_689895.2
RXFP1	ENSG00000171509.18	ENST00000307765.10	ENSP00000303248.5	NM_021634.4	59350	NP_067647.2
RXFP2	ENSG00000133105.9	ENST00000298386.7	ENSP00000298386.2	NM_130806.5	122042	NP_570718.1
RXFP3	ENSG00000182631.7	ENST00000330120.5	ENSP00000328708.3	NM_016568.3	51289	NP_057652.1
RXFP4	ENSG00000173080.6	ENST00000368318.5	ENSP00000357301.4	NM_181885.3	339403	NP_871001.1
RXRA	ENSG00000186350.13	ENST00000481739.2	ENSP00000419692.1	NM_002957.6	6256	NP_002948.1
RXRB	ENSG00000204231.13	ENST00000374680.4	ENSP00000363812.3	NM_021976.5	6257	NP_068811.1
RXRG	ENSG00000143171.15	ENST00000359842.10	ENSP00000352900.5	NM_006917.5	6258	NP_008848.1
RXYLT1	ENSG00000118600.15	ENST00000261234.11	ENSP00000261234.6	NM_014254.3	10329	NP_055069.1
RYBP	ENSG00000281766.4	ENST00000643872.4	ENSP00000493835.1	NM_012234.7	23429	NP_036366.3
RYK	ENSG00000163785.16	ENST00000623711.4	ENSP00000485095.1	NM_002958.4	6259	NP_002949.2
RYR1	ENSG00000196218.15	ENST00000359596.8	ENSP00000352608.2	NM_000540.3	6261	NP_000531.2
RYR2	ENSG00000198626.19	ENST00000366574.7	ENSP00000355533.2	NM_001035.3	6262	NP_001026.2
RYR3	ENSG00000198838.16	ENST00000634891.2	ENSP00000489262.1	NM_001036.6	6263	NP_001027.3
S100A1	ENSG00000160678.14	ENST00000292169.6	ENSP00000292169.2	NM_006271.2	6271	NP_006262.1
S100A10	ENSG00000197747.11	ENST00000368811.8	ENSP00000357801.3	NM_002966.3	6281	NP_002957.1
S100A11	ENSG00000163191.8	ENST00000271638.3	ENSP00000271638.2	NM_005620.2	6282	NP_005611.1
S100A12	ENSG00000163221.10	ENST00000368737.5	ENSP00000357726.3	NM_005621.2	6283	NP_005612.1
S100A13	ENSG00000189171.18	ENST00000476133.6	ENSP00000507299.1	NM_001024211.2	6284	NP_001019382.1
S100A14	ENSG00000189334.11	ENST00000344616.4	ENSP00000340463.2	NM_020672.3	57402	NP_065723.1
S100A16	ENSG00000188643.13	ENST00000368706.9	ENSP00000357695.3	NM_080388.3	140576	NP_525127.1
S100A2	ENSG00000196754.15	ENST00000368708.9	ENSP00000357697.4	NM_005978.4	6273	NP_005969.2
S100A3	ENSG00000188015.12	ENST00000368713.8	ENSP00000357702.3	NM_002960.2	6274	NP_002951.1
S100A4	ENSG00000196154.14	ENST00000368716.9	ENSP00000357705.4	NM_002961.3	6275	NP_002952.1
S100A5	ENSG00000196420.10	ENST00000368717.3	ENSP00000357706.2	NM_001394232.1	6276	NP_001381161.1
S100A6	ENSG00000197956.12	ENST00000368719.9	ENSP00000357708.3	NM_014624.4	6277	NP_055439.1
S100A7	ENSG00000143556.11	ENST00000368723.4	ENSP00000357712.3	NM_002963.4	6278	NP_002954.2
S100A7A	ENSG00000184330.12	ENST00000368729.9	ENSP00000357718.3	NM_176823.4	338324	NP_789793.1
S100A8	ENSG00000143546.12	ENST00000368733.4	ENSP00000357722.3	NM_002964.5	6279	NP_002955.2
S100A9	ENSG00000163220.13	ENST00000368738.4	ENSP00000357727.3	NM_002965.4	6280	NP_002956.1
S100B	ENSG00000160307.12	ENST00000291700.9	ENSP00000291700.4	NM_006272.3	6285	NP_006263.1
S100G	ENSG00000169906.5	ENST00000380200.3	ENSP00000369547.3	NM_004057.3	795	NP_004048.1
S100P	ENSG00000163993.8	ENST00000296370.4	ENSP00000296370.3	NM_005980.3	6286	NP_005971.1
S100PBP	ENSG00000116497.20	ENST00000373475.10	ENSP00000362574.5	NM_022753.4	64766	NP_073590.2
S100Z	ENSG00000171643.16	ENST00000317593.9	ENSP00000320430.4	NM_130772.4	170591	NP_570128.2
S1PR1	ENSG00000170989.12	ENST00000305352.7	ENSP00000305416.6	NM_001400.5	1901	NP_001391.2
S1PR2	ENSG00000267534.4	ENST00000646641.1	ENSP00000496438.1	NM_004230.4	9294	NP_004221.3
S1PR3	ENSG00000213694.9	ENST00000358157.3	ENSP00000350878.2	NM_005226.4	1903	NP_005217.2
S1PR4	ENSG00000125910.6	ENST00000246115.5	ENSP00000246115.3	NM_003775.4	8698	NP_003766.1
S1PR5	ENSG00000180739.16	ENST00000333430.6	ENSP00000328472.3	NM_030760.5	53637	NP_110387.1
SAA1	ENSG00000173432.14	ENST00000356524.9	ENSP00000348918.4	NM_199161.5	6288	NP_954630.2
SAA2	ENSG00000134339.11	ENST00000256733.9	ENSP00000256733.5	NM_030754.5	6289	NP_110381.2
SAA4	ENSG00000148965.12	ENST00000278222.7	ENSP00000278222.4	NM_006512.4	6291	NP_006503.2
